date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0,0.0,0.0,112.50737762451172,0.07735346477962857,0.0,10000.0,0.0,10000.0
2023-01-27,1,-0.026813116105577028,0,0,0,-0.01,-2.0,114.11676025390624,0.1354712498108448,-0.036813116105577026,71.84185791015807,87.0,10000.0
2023-01-30,0,-0.038678611467581045,0,0,0,0.0,0.0,111.07574462890624,-0.19541977125490106,-0.038678611467581045,71.84185791015807,87.0,9735.431640625
2023-01-31,2,0.0,0,0,0,-0.01,0.0,106.83018493652344,-0.7098427676343255,-0.01,9366.067947387697,0.0,9366.067947387697
2023-02-01,1,0.06520925741488505,0,0,0,-0.01,2.0,110.07852935791016,-0.5453755945355496,0.05520925741488505,9.39295196533385,85.0,9366.067947387697
2023-02-02,0,0.043128970136050715,0,0,0,0.0,0.0,117.50332641601562,0.20582858830171213,0.043128970136050715,9.39295196533385,85.0,9997.175697326662
2023-02-03,0,-0.035019042763366745,0,0,0,0.0,0.0,122.6868667602539,0.8421904914949288,-0.035019042763366745,9.39295196533385,85.0,10437.776626586916
2023-02-06,0,-0.019252820453900123,0,0,0,0.0,0.0,118.46104431152344,0.5018131721298014,-0.019252820453900123,9.39295196533385,85.0,10078.581718444826
2023-02-07,0,0.02373937266710448,0,0,0,0.0,0.0,116.20004272460938,0.023983025954240844,0.02373937266710448,9.39295196533385,85.0,9886.39658355713
2023-02-08,0,-0.038620169064459316,0,0,0,0.0,-2.0,118.99421691894533,0.014383619865284025,-0.038620169064459316,9.39295196533385,85.0,10123.901390075687
2023-02-09,0,0.0011195553283791441,0,0,0,0.0,0.0,114.48206329345705,-0.4479801871218889,0.0011195553283791441,9.39295196533385,85.0,9740.368331909183
2023-02-10,0,-0.011338586157990337,0,0,0,0.0,0.0,114.61042785644533,-0.5885561813209157,-0.011338586157990337,9.39295196533385,85.0,9751.279319763187
2023-02-13,0,0.015203963140431155,0,0,0,0.0,0.0,113.31700134277344,-0.6979368326174722,0.015203963140431155,9.39295196533385,85.0,9641.338066101076
2023-02-14,0,0.016242271526352544,0,0,0,0.0,0.0,115.05472564697266,-0.5050062838159306,0.016242271526352544,9.39295196533385,85.0,9789.04463195801
2023-02-15,0,0.008567031187502164,0,0,0,0.0,0.0,116.94054412841795,-0.21473260554909923,0.008567031187502164,9.39295196533385,85.0,9949.33920288086
2023-02-16,0,-0.0346309860216682,0,0,0,0.0,0.0,117.9476318359375,-0.012644951862305742,-0.0346309860216682,9.39295196533385,85.0,10034.941658020021
2023-02-17,0,0.00043289114057774115,0,0,0,0.0,0.0,113.92914581298828,-0.3098024716727321,0.00043289114057774115,9.39295196533385,85.0,9693.370346069338
2023-02-21,0,-0.036665123594002265,0,0,0,0.0,0.0,113.97852325439452,-0.3832571021155514,-0.036665123594002265,9.39295196533385,85.0,9697.567428588867
2023-02-22,0,-0.005504134171518609,0,0,0,0.0,0.0,109.8711929321289,-0.711375287032147,-0.005504134171518609,9.39295196533385,85.0,9348.44435119629
2023-02-23,0,0.022368013591879343,0,0,0,0.0,0.0,109.26750183105467,-0.76218977796165,0.022368013591879343,9.39295196533385,85.0,9297.13060760498
2023-02-24,0,-0.014257799180086465,0,0,0,0.0,0.0,111.74163818359376,-0.42575404155458496,-0.014257799180086465,9.39295196533385,85.0,9507.432197570804
2023-02-27,0,0.0067978521669842034,0,0,0,0.0,0.0,110.15818786621094,-0.3483262881832625,0.0067978521669842034,9.39295196533385,85.0,9372.838920593264
2023-02-28,0,0.03572368112047783,0,0,0,0.0,2.0,110.91033172607422,-0.17406897051258396,0.03572368112047783,9.39295196533385,85.0,9436.771148681642
2023-03-01,0,0.009502245037612926,0,0,0,0.0,0.0,114.9480972290039,0.28892985408006067,0.009502245037612926,9.39295196533385,85.0,9779.981216430666
2023-03-02,0,0.010087636993068316,0,0,0,0.0,0.0,116.04662322998048,0.5181941414627509,0.010087636993068316,9.39295196533385,85.0,9873.355926513676
2023-03-03,0,0.0042923336503731604,0,0,0,0.0,0.0,117.22430419921876,0.6187471666981299,0.0042923336503731604,9.39295196533385,85.0,9973.45880889893
2023-03-06,0,-0.0035334847695359752,0,0,0,0.0,0.0,117.7290267944336,0.5861758604033223,-0.0035334847695359752,9.39295196533385,85.0,10016.36022949219
2023-03-07,0,-0.018458133201760627,0,0,0,0.0,0.0,117.3133773803711,0.42209203167102605,-0.018458133201760627,9.39295196533385,85.0,9981.030029296877
2023-03-08,0,0.01938480497701903,0,0,0,0.0,0.0,115.16583251953124,0.08382611696257136,0.01938480497701903,9.39295196533385,85.0,9798.488716125488
2023-03-09,0,-0.013649340162813358,0,0,0,0.0,-2.0,117.4222412109375,0.11843788649343134,-0.013649340162813358,9.39295196533385,85.0,9990.283454895021
2023-03-10,0,-0.022879973936935392,0,0,0,0.0,0.0,115.82889556884766,-0.04810348204595005,-0.022879973936935392,9.39295196533385,85.0,9854.849075317385
2023-03-13,0,0.012584008399940531,0,0,0,0.0,0.0,113.2063217163086,-0.34606256773569133,0.012584008399940531,9.39295196533385,85.0,9631.930297851564
2023-03-14,0,0.03807521837196297,0,0,0,0.0,2.0,114.6413116455078,-0.28534534765293856,0.03807521837196297,9.39295196533385,85.0,9753.904441833496
2023-03-15,0,-0.01556233303775945,0,0,0,0.0,0.0,119.09475708007812,0.1596096554473272,-0.01556233303775945,9.39295196533385,85.0,10132.447303771974
2023-03-16,0,0.036023686806416086,0,0,0,0.0,0.0,117.2540054321289,0.12369446663111938,0.036023686806416086,9.39295196533385,85.0,9975.98341369629
2023-03-17,0,-0.0018725826599275271,0,0,0,0.0,0.0,121.5589828491211,0.44234043509114396,-0.0018725826599275271,9.39295196533385,85.0,10341.906494140627
2023-03-20,0,0.011666531927592021,0,0,0,0.0,0.0,121.33135986328124,0.4382766539298584,0.011666531927592021,9.39295196533385,85.0,10322.558540344238
2023-03-21,0,-0.029757426174008488,0,0,0,0.0,0.0,122.75646209716795,0.4509028805388522,-0.029757426174008488,9.39295196533385,85.0,10443.69223022461
2023-03-22,0,-0.012861187691138441,0,0,0,0.0,-2.0,119.15412139892578,0.02910720360363217,-0.012861187691138441,9.39295196533385,85.0,10137.493270874025
2023-03-23,0,0.032417934144451224,0,0,0,0.0,0.0,117.63005828857422,-0.2988581100766581,0.032417934144451224,9.39295196533385,85.0,10007.947906494142
2023-03-24,0,-0.026802107651428694,0,0,0,0.0,0.0,121.50950622558594,-0.06541782812505081,-0.026802107651428694,9.39295196533385,85.0,10337.700981140139
2023-03-27,0,-0.00553172176852041,0,0,0,0.0,0.0,118.29312896728516,-0.2748164302063665,-0.00553172176852041,9.39295196533385,85.0,10064.308914184572
2023-03-28,0,-0.020978024596820116,0,0,0,0.0,0.0,117.63996124267578,-0.3850937879735482,-0.020978024596820116,9.39295196533385,85.0,10008.789657592775
2023-03-29,0,0.029180763756682514,0,0,0,0.0,0.0,115.19551849365234,-0.5864049605602122,0.029180763756682514,9.39295196533385,85.0,9801.012023925783
2023-03-30,0,0.018664124220060755,0,0,0,0.0,2.0,118.60980987548828,-0.27325211334954286,0.018664124220060755,9.39295196533385,85.0,10091.226791381838
2023-03-31,0,0.005873696493057277,0,0,0,0.0,0.0,120.84642791748048,0.07616565149855864,0.005873696493057277,9.39295196533385,85.0,10281.339324951176
2023-04-03,0,-0.004156936793323838,0,0,0,0.0,0.0,121.5589828491211,0.2442751429208344,-0.004156936793323838,9.39295196533385,85.0,10341.906494140627
2023-04-04,0,-0.01813264487112678,0,0,0,0.0,-2.0,121.05426025390624,0.20726426345922144,-0.01813264487112678,9.39295196533385,85.0,10299.005073547363
2023-04-05,0,-0.02356383823129952,0,0,0,0.0,0.0,118.87702178955078,-0.045192513916780586,-0.02356383823129952,9.39295196533385,85.0,10113.93980407715
2023-04-06,0,-0.024743351415710282,0,0,0,0.0,0.0,116.10599517822266,-0.38161179593976546,-0.024743351415710282,9.39295196533385,85.0,9878.40254211426
2023-04-10,0,0.017736064263099243,0,0,0,0.0,0.0,113.26569366455078,-0.688163742349189,0.017736064263099243,9.39295196533385,85.0,9636.97691345215
2023-04-11,0,-0.001029594197815349,0,0,0,0.0,0.0,115.2944793701172,-0.5001041278580598,-0.001029594197815349,9.39295196533385,85.0,9809.423698425297
2023-04-12,0,-0.028030574352189416,0,0,0,0.0,0.0,115.17572021484376,-0.34003475060270527,-0.028030574352189416,9.39295196533385,85.0,9799.329170227054
2023-04-13,0,0.002732986301449191,0,0,0,0.0,0.0,111.98905181884766,-0.47640671621763486,0.002732986301449191,9.39295196533385,85.0,9528.462356567385
2023-04-14,0,-0.005031053971363032,0,0,0,0.0,0.0,112.29583740234376,-0.389967228514448,-0.005031053971363032,9.39295196533385,85.0,9554.539131164554
2023-04-17,0,-0.009870451331126998,0,0,0,0.0,0.0,111.7317352294922,-0.3054831719522937,-0.009870451331126998,9.39295196533385,85.0,9506.590446472172
2023-04-18,0,-0.0046578254416115164,0,0,0,0.0,0.0,110.63323211669922,-0.2777083984202928,-0.0046578254416115164,9.39295196533385,85.0,9413.217681884767
2023-04-19,0,-0.008384750560990863,0,0,0,0.0,0.0,110.1186065673828,-0.22117306603701126,-0.008384750560990863,9.39295196533385,85.0,9369.474510192871
