date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,1,-0.004927553213327037,0,0,0,0.01,0.0,344.6383361816406,0.11202350929159977,0.005072446786672963,5.488250732421875,29.0,10000.0
2023-01-27,0,-0.017118556826908785,0,0,0,0.0,-2.0,342.943359375,0.2825297485398499,-0.017118556826908785,5.488250732421875,29.0,9950.845672607422
2023-01-30,0,-0.004685284853643535,0,0,0,0.0,0.0,337.1194152832031,-0.12096481326371622,-0.004685284853643535,5.488250732421875,29.0,9781.951293945312
2023-01-31,2,0.0,0,0,0,-0.01,2.0,335.542724609375,-0.29682725402617516,-0.01,9736.227264404297,0.0,9736.227264404297
2023-02-01,1,-0.004487696333464605,0,0,0,0.01,0.0,339.1395568847656,0.09080471026020653,0.005512303666535395,240.31967163085938,28.0,9736.227264404297
2023-02-02,0,-0.03437480758892564,0,0,0,0.0,-2.0,337.58258056640625,0.17258153461188552,-0.03437480758892564,240.31967163085938,28.0,9692.631927490234
2023-02-03,0,0.024389964275349084,0,0,0,0.0,0.0,325.8854064941406,-0.7446605056734787,0.024389964275349084,240.31967163085938,28.0,9365.111053466797
2023-02-06,0,-0.004091274312341383,0,0,0,0.0,2.0,334.14337158203125,-0.14156166293352257,-0.004091274312341383,240.31967163085938,28.0,9596.334075927734
2023-02-07,0,0.005815007690175758,0,0,0,0.0,0.0,332.7440490722656,0.0862618226336247,0.005815007690175758,240.31967163085938,28.0,9557.153045654297
2023-02-08,0,0.003009468725239543,0,0,0,0.0,0.0,334.7346496582031,0.42447029680784487,0.003009468725239543,240.31967163085938,28.0,9612.889862060547
2023-02-09,0,0.00302871303314029,0,0,0,0.0,0.0,335.7694091796875,0.6536295161666459,0.00302871303314029,240.31967163085938,28.0,9641.86312866211
2023-02-10,0,0.00945580329944948,0,0,0,0.0,0.0,336.8139343261719,0.7917402517505563,0.00945580329944948,240.31967163085938,28.0,9671.109832763672
2023-02-13,0,0.014812179896234666,0,0,0,0.0,0.0,340.0954284667969,1.0504148729039642,0.014812179896234666,240.31967163085938,28.0,9762.991668701172
2023-02-14,0,-0.004788530938684138,0,0,0,0.0,0.0,345.2985534667969,1.4544840039584683,-0.004788530938684138,240.31967163085938,28.0,9908.679168701172
2023-02-15,0,-0.03586437956482722,0,0,0,0.0,-2.0,343.6080322265625,1.2247652046616897,-0.03586437956482722,240.31967163085938,28.0,9861.34457397461
2023-02-16,0,-0.026355986461526523,0,0,0,0.0,0.0,331.20074462890625,-0.13509416968435006,-0.026355986461526523,240.31967163085938,28.0,9513.940521240234
2023-02-17,0,0.006936246388956952,0,0,0,0.0,0.0,322.3623962402344,-1.357772887768294,0.006936246388956952,240.31967163085938,28.0,9266.466766357422
2023-02-21,0,-0.0026438102942376324,0,0,0,0.0,0.0,324.6658935546875,-1.3332925283992765,-0.0026438102942376324,240.31967163085938,28.0,9330.96469116211
2023-02-22,0,0.004629494051917291,0,0,0,0.0,0.0,323.7860107421875,-1.1061616849236726,0.004629494051917291,240.31967163085938,28.0,9306.32797241211
2023-02-23,0,-0.0045997453313109705,0,0,0,0.0,0.0,325.3282775878906,-0.6197060413720781,-0.0045997453313109705,240.31967163085938,28.0,9349.511444091797
2023-02-24,0,-0.017644256934357075,0,0,0,0.0,0.0,323.7958984375,-0.37877512460375407,-0.017644256934357075,240.31967163085938,28.0,9306.60482788086
2023-02-27,0,-0.015314075071664145,0,0,0,0.0,0.0,317.9827575683594,-0.632044539850293,-0.015314075071664145,240.31967163085938,28.0,9143.836883544922
2023-02-28,0,-0.016739191203082048,0,0,0,0.0,0.0,313.0198059082031,-0.9381793594332173,-0.016739191203082048,240.31967163085938,28.0,9004.874237060547
2023-03-01,0,0.00917928408084758,0,0,0,0.0,0.0,307.6812438964844,-1.2256327678884258,0.00917928408084758,240.31967163085938,28.0,8855.394500732422
2023-03-02,0,0.0027220068282153096,0,0,0,0.0,0.0,310.5976867675781,-0.7270171535512091,0.0027220068282153096,240.31967163085938,28.0,8937.054901123047
2023-03-03,0,0.01038657601177366,0,0,0,0.0,2.0,311.4676818847656,-0.19272892369298056,0.01038657601177366,240.31967163085938,28.0,8961.414764404297
2023-03-06,0,0.0016189721491317044,0,0,0,0.0,0.0,314.8092346191406,0.4737041181605619,0.0016189721491317044,240.31967163085938,28.0,9054.978240966797
2023-03-07,0,-0.02575283114899562,0,0,0,0.0,0.0,315.3332214355469,0.8197546232305832,-0.02575283114899562,240.31967163085938,28.0,9069.649871826172
2023-03-08,0,0.00596377757478126,0,0,0,0.0,0.0,307.09796142578125,0.22178940431633354,0.00596377757478126,240.31967163085938,28.0,8839.062591552734
2023-03-09,0,0.013328292362967065,0,0,0,0.0,0.0,308.9862365722656,0.24854310433124027,0.013328292362967065,240.31967163085938,28.0,8891.934295654297
2023-03-10,0,-0.005637473754136347,0,0,0,0.0,0.0,313.2472229003906,0.6992980382240557,-0.005637473754136347,240.31967163085938,28.0,9011.241912841797
2023-03-13,0,0.028835618520673303,0,0,0,0.0,0.0,311.4380187988281,0.6931374732654279,0.028835618520673303,240.31967163085938,28.0,8960.584197998047
2023-03-14,0,0.007713915123527522,0,0,0,0.0,0.0,320.80035400390625,1.4664807675228584,0.007713915123527522,240.31967163085938,28.0,9222.729583740234
2023-03-15,0,0.007122808887273918,0,0,0,0.0,0.0,323.3510131835937,1.7794857874081718,0.007122808887273918,240.31967163085938,28.0,9294.148040771483
2023-03-16,0,0.00017735335245510158,0,0,0,0.0,0.0,325.7237548828125,1.822870906036655,0.00017735335245510158,240.31967163085938,28.0,9360.58480834961
2023-03-17,0,-0.0010354465147662773,0,0,0,0.0,0.0,325.7830505371094,1.5313638332354682,-0.0010354465147662773,240.31967163085938,28.0,9362.245086669922
2023-03-20,0,0.012997384476179616,0,0,0,0.0,0.0,325.43701171875,1.109442616417359,0.012997384476179616,240.31967163085938,28.0,9352.55599975586
2023-03-21,0,-0.00738964843596297,0,0,0,0.0,0.0,329.8067321777344,1.10148235852584,-0.00738964843596297,240.31967163085938,28.0,9474.908172607422
2023-03-22,0,-0.00032367307086792336,0,0,0,0.0,0.0,327.3153686523437,0.6409426906124747,-0.00032367307086792336,240.31967163085938,28.0,9405.149993896483
2023-03-23,0,0.004904906550443438,0,0,0,0.0,0.0,327.2066650390625,0.29062214873207104,0.004904906550443438,240.31967163085938,28.0,9402.10629272461
2023-03-24,0,0.01017286269176521,0,0,0,0.0,0.0,328.85772705078125,0.1897971771201421,0.01017286269176521,240.31967163085938,28.0,9448.336029052734
2023-03-27,0,-0.004447082353676521,0,0,0,0.0,0.0,332.3079833984375,0.349848909268605,-0.004447082353676521,240.31967163085938,28.0,9544.94320678711
2023-03-28,0,0.008845597949983432,0,0,0,0.0,0.0,330.7953796386719,0.1458890872576939,0.008845597949983432,240.31967163085938,28.0,9502.590301513672
2023-03-29,0,-0.005152852474808808,0,0,0,0.0,-2.0,333.8106994628906,0.23056612732349535,-0.005152852474808808,240.31967163085938,28.0,9587.019256591797
2023-03-30,0,0.013892176551035055,0,0,0,0.0,2.0,332.0509338378906,-0.0069916535041070205,0.013892176551035055,240.31967163085938,28.0,9537.745819091797
2023-03-31,0,0.007783794740727729,0,0,0,0.0,0.0,336.81610107421875,0.23913613782303855,0.007783794740727729,240.31967163085938,28.0,9671.170501708984
2023-04-03,0,0.020576271537412445,0,0,0,0.0,0.0,339.5151062011719,0.4377379284455287,0.020576271537412445,240.31967163085938,28.0,9746.742645263672
2023-04-04,0,0.010737256585380335,0,0,0,0.0,0.0,346.7518615722656,0.9650172070776879,0.010737256585380335,240.31967163085938,28.0,9949.371795654297
2023-04-05,0,0.020757378766849507,0,0,0,0.0,0.0,350.5877380371094,1.2110808114302376,0.020757378766849507,240.31967163085938,28.0,10056.776336669922
2023-04-06,0,0.016179200049532133,0,0,0,0.0,0.0,358.12109375,1.6068037287892825,0.016179200049532133,240.31967163085938,28.0,10267.71029663086
2023-04-10,0,-0.0034279531184503572,0,0,0,0.0,0.0,364.1023254394531,1.827162198799047,-0.0034279531184503572,240.31967163085938,28.0,10435.184783935547
2023-04-11,0,-0.0079100177914303,0,0,0,0.0,0.0,362.8269653320313,1.2917016913744668,-0.0079100177914303,240.31967163085938,28.0,10399.474700927736
2023-04-12,0,0.013351966865307499,0,0,0,0.0,0.0,359.90069580078125,0.4121622030996068,0.013351966865307499,240.31967163085938,28.0,10317.539154052734
2023-04-13,0,0.01602002723295623,0,0,0,0.0,0.0,364.8536682128906,0.23281888301136178,0.01602002723295623,240.31967163085938,28.0,10456.222381591797
2023-04-14,0,-0.0010946623477488579,0,0,0,0.0,0.0,370.8843078613281,0.4314694308885123,-0.0010946623477488579,240.31967163085938,28.0,10625.080291748047
2023-04-17,0,-0.00622684946594955,0,0,0,0.0,-2.0,370.4691467285156,0.17375724358403133,-0.00622684946594955,240.31967163085938,28.0,10613.455780029297
2023-04-18,0,-0.00642427671038144,0,0,0,0.0,0.0,368.1161804199219,-0.37424983184578764,-0.00642427671038144,240.31967163085938,28.0,10547.572723388672
2023-04-19,0,0.001477957360456587,0,0,0,0.0,0.0,365.7039184570313,-0.9294505318682624,0.001477957360456587,240.31967163085938,28.0,10480.029388427736
2023-04-20,0,0.011381668676839785,0,0,0,0.0,0.0,366.2575073242188,-1.1181937863937907,0.011381668676839785,240.31967163085938,28.0,10495.529876708986
