date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0,0.0,0.0,237.1989288330078,0.3047568218697858,0.0,10000.0,0.0,10000.0
2023-01-27,1,0.0006307824602196322,0,0,0,-0.01,0.0,244.4841461181641,0.7335702600286271,-0.009369217539780369,220.63415527343568,40.0,10000.0
2023-01-30,0,-0.02171141111094494,0,0,0,0.0,0.0,244.6418914794922,0.7253350122567803,-0.02171141111094494,220.63415527343568,40.0,10006.309814453123
2023-01-31,2,0.0,0,0,0,-0.01,0.0,239.26914978027344,0.07214629855713639,-0.01,9791.400146484373,0.0,9791.400146484373
2023-02-01,1,0.019699609564729898,0,0,0,-0.01,0.0,244.29684448242188,0.1896313428320795,0.009699609564729898,19.52636718749818,40.0,9791.400146484373
2023-02-02,0,0.04573076813161536,0,0,0,0.0,0.0,249.1668243408203,0.5525072409010203,0.04573076813161536,19.52636718749818,40.0,9986.19934082031
2023-02-03,0,-0.02385879836210216,0,0,0,0.0,0.0,260.84881591796875,1.5152233612416883,-0.02385879836210216,19.52636718749818,40.0,10453.479003906248
2023-02-06,0,-0.006122745668770179,0,0,0,0.0,0.0,254.6874237060547,0.971221757885143,-0.006122745668770179,19.52636718749818,40.0,10207.023315429686
2023-02-07,0,0.04108544164787297,0,0,0,0.0,0.0,253.12982177734372,0.3501841722048038,0.04108544164787297,19.52636718749818,40.0,10144.719238281246
2023-02-08,0,-0.003101080737639573,0,0,0,0.0,0.0,263.766845703125,0.8519172869992033,-0.003101080737639573,19.52636718749818,40.0,10570.200195312498
2023-02-09,0,-0.01170652438354362,0,0,0,0.0,0.0,262.9486389160156,0.6802038380101845,-0.01170652438354362,19.52636718749818,40.0,10537.471923828123
2023-02-10,0,-0.0019705678996398295,0,0,0,0.0,-2.0,259.8826904296875,0.08817124607988269,-0.0019705678996398295,19.52636718749818,40.0,10414.833984374998
2023-02-13,0,0.030707556098522795,0,0,0,0.0,2.0,259.3701171875,-0.33451887106329714,0.030707556098522795,19.52636718749818,40.0,10394.331054687498
2023-02-14,0,0.0031224803061004635,0,0,0,0.0,0.0,267.4735107421875,0.12488311833953247,0.0031224803061004635,19.52636718749818,40.0,10718.466796874998
2023-02-15,0,-0.008010401106028724,0,0,0,0.0,-2.0,268.3115234375,0.20102825686557946,-0.008010401106028724,19.52636718749818,40.0,10751.987304687498
2023-02-16,0,-0.026933462646440753,0,0,0,0.0,0.0,266.1669311523437,-0.136223830287431,-0.026933462646440753,19.52636718749818,40.0,10666.203613281246
2023-02-17,0,-0.015694931139304317,0,0,0,0.0,0.0,259.0808410644531,-0.9861012930023128,-0.015694931139304317,19.52636718749818,40.0,10382.760009765623
2023-02-21,0,-0.02106704718135644,0,0,0,0.0,0.0,255.03872680664065,-1.5946472366863933,-0.02106704718135644,19.52636718749818,40.0,10221.075439453125
2023-02-22,0,-0.004592496192456305,0,0,0,0.0,0.0,249.7118377685547,-2.0893393975302126,-0.004592496192456305,19.52636718749818,40.0,10007.999877929686
2023-02-23,0,0.012853281600436327,0,0,0,0.0,0.0,248.5654296875,-2.0609264431881695,0.012853281600436327,19.52636718749818,40.0,9962.143554687498
2023-02-24,0,-0.021982080151663076,0,0,0,0.0,0.0,251.7872467041016,-1.4373880880330143,-0.021982080151663076,19.52636718749818,40.0,10091.016235351562
2023-02-27,0,0.0037573260259299883,0,0,0,0.0,0.0,246.30221557617188,-1.4300483460887685,0.0037573260259299883,19.52636718749818,40.0,9871.614990234373
2023-02-28,0,-0.0029566526388132928,0,0,0,0.0,0.0,247.23123168945312,-1.0772622302047072,-0.0029566526388132928,19.52636718749818,40.0,9908.775634765623
2023-03-01,0,-0.012684415808023094,0,0,0,0.0,0.0,246.49989318847656,-0.7856631078835519,-0.012684415808023094,19.52636718749818,40.0,9879.52209472656
2023-03-02,0,0.019423972053141926,0,0,0,0.0,0.0,243.38677978515625,-0.7602346440132925,0.019423972053141926,19.52636718749818,40.0,9754.997558593748
2023-03-03,0,0.016476840972884117,0,0,0,0.0,2.0,248.17010498046875,-0.14790031289216055,0.016476840972884117,19.52636718749818,40.0,9946.330566406248
2023-03-06,0,0.0061581730936031455,0,0,0,0.0,0.0,252.3011474609375,0.5165665966906068,0.0061581730936031455,19.52636718749818,40.0,10111.572265624998
2023-03-07,0,-0.01062500006598911,0,0,0,0.0,0.0,253.8626708984375,0.8521731868888638,-0.01062500006598911,19.52636718749818,40.0,10174.033203124998
2023-03-08,0,-0.00176874111061393,0,0,0,0.0,0.0,251.17449951171875,0.6285291535382422,-0.00176874111061393,19.52636718749818,40.0,10066.506347656248
