date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0,0.0,0.0,166.09942626953125,-0.2277800713035918,0.0,10000.0,0.0,10000.0
2023-01-27,1,0.006469748624776346,0,0,0,-0.01,0.0,165.20742797851562,-0.3501199888367794,-0.003530251375223654,87.5543212890625,60.0,10000.0
2023-01-30,0,-0.00496886135962165,0,0,0,0.0,0.0,166.28921508789062,-0.2682961815434217,-0.00496886135962165,87.5543212890625,60.0,10064.9072265625
2023-01-31,2,0.0,0,0,0,-0.01,2.0,165.457763671875,-0.28577987055024157,-0.01,10015.020141601562,0.0,10015.020141601562
2023-02-01,0,0.0,0,0,0,0.0,0.0,169.35696411132812,0.07354630206059021,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-02,0,0.0,0,0,0,0.0,0.0,174.03025817871094,0.5719105029530245,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-03,0,0.0,0,0,0,0.0,0.0,176.53414916992188,0.8365616062726233,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-06,0,0.0,0,0,0,0.0,0.0,174.21182250976562,0.5404957935456474,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-07,0,0.0,0,0,0,0.0,0.0,172.97898864746094,0.17618401713085463,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-08,0,0.0,0,0,0,0.0,-2.0,175.35867309570312,0.15899766881122712,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-09,0,0.0,0,0,0,0.0,0.0,168.67840576171875,-0.5067498641915775,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-10,0,0.0,0,0,0,0.0,0.0,167.23532104492188,-0.8340067063848076,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-13,0,0.0,0,0,0,0.0,0.0,167.99989318847656,-0.7753032052217916,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-14,0,0.0,0,0,0,0.0,0.0,168.87911987304688,-0.5628754794338464,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-15,0,0.0,0,0,0,0.0,0.0,168.52549743652344,-0.4286108938240913,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-16,0,0.0,0,0,0,0.0,0.0,170.58978271484375,-0.13292516044232955,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-17,0,0.0,0,0,0,0.0,0.0,168.27703857421875,-0.20404835002136024,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-21,0,0.0,0,0,0,0.0,0.0,167.55072021484375,-0.25783377600307805,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-22,0,0.0,0,0,0,0.0,0.0,163.19277954101562,-0.6026631857911388,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-23,0,0.0,0,0,0,0.0,0.0,162.27532958984375,-0.6877395612647033,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-24,0,0.0,0,0,0,0.0,0.0,164.20582580566406,-0.40677935975442203,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-27,0,0.0,0,0,0,0.0,0.0,161.6445770263672,-0.4201803190455924,0.0,10015.020141601562,0.0,10015.020141601562
2023-02-28,0,0.0,0,0,0,0.0,2.0,163.17369079589844,-0.18184465573163378,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-01,0,0.0,0,0,0,0.0,0.0,163.85220336914062,0.036222764110914074,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-02,0,0.0,0,0,0,0.0,0.0,164.54029846191406,0.2079115450481832,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-03,0,0.0,0,0,0,0.0,0.0,166.3656768798828,0.4258163251127922,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-06,0,0.0,0,0,0,0.0,0.0,167.89474487304688,0.5892143516152522,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-07,0,0.0,0,0,0,0.0,0.0,165.3813018798828,0.347123769521538,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-08,0,0.0,0,0,0,0.0,0.0,164.4351806640625,0.1282302204262138,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-09,0,0.0,0,0,0,0.0,0.0,168.4108123779297,0.37694050713409155,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-10,0,0.0,0,0,0,0.0,-2.0,165.7540283203125,0.1781103831375943,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-13,0,0.0,0,0,0,0.0,2.0,164.03378295898438,-0.07204725276920021,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-14,0,0.0,0,0,0,0.0,0.0,166.18406677246094,0.036802301487034506,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-15,0,0.0,0,0,0,0.0,0.0,167.94253540039062,0.22379854400845484,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-16,0,0.0,0,0,0,0.0,0.0,166.6619415283203,0.141773809374308,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-17,0,0.0,0,0,0,0.0,0.0,169.280517578125,0.3075559053596997,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-20,0,0.0,0,0,0,0.0,0.0,167.92344665527344,0.1888049094478209,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-21,0,0.0,0,0,0,0.0,0.0,171.2205352783203,0.3827036946602509,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-22,0,0.0,0,0,0,0.0,0.0,170.5037841796875,0.30633915259888933,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-23,0,0.0,0,0,0,0.0,0.0,168.5064239501953,0.029640700486973204,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-24,0,0.0,0,0,0,0.0,0.0,172.29092407226562,0.22414708335156686,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-27,0,0.0,0,0,0,0.0,-2.0,171.5550079345703,0.16569356627067533,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-28,0,0.0,0,0,0,0.0,0.0,169.20404052734375,-0.1163243882337841,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-29,0,0.0,0,0,0,0.0,2.0,169.62454223632812,-0.19036626264256495,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-30,0,0.0,0,0,0,0.0,0.0,173.01722717285156,0.08315513850575385,0.0,10015.020141601562,0.0,10015.020141601562
2023-03-31,0,0.0,0,0,0,0.0,0.0,176.075439453125,0.4052039144064645,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-03,0,0.0,0,0,0,0.0,0.0,177.76699829101562,0.5634844439415465,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-04,0,0.0,0,0,0,0.0,-2.0,175.99899291992188,0.327445497407711,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-05,0,0.0,0,0,0,0.0,0.0,172.40557861328125,-0.17286450559484634,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-06,0,0.0,0,0,0,0.0,0.0,169.34739685058594,-0.6317027269844924,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-10,0,0.0,0,0,0,0.0,0.0,170.2266082763672,-0.6450984587730869,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-11,0,0.0,0,0,0,0.0,0.0,171.46900939941406,-0.4507937263149132,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-12,0,0.0,0,0,0,0.0,0.0,171.89907836914062,-0.2773549806339646,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-13,0,0.0,0,0,0,0.0,0.0,169.681884765625,-0.36510945019978525,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-14,0,0.0,0,0,0,0.0,0.0,171.17276000976562,-0.20925701817269193,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-17,0,0.0,0,0,0,0.0,2.0,171.04852294921875,-0.1269279175397936,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-18,0,0.0,0,0,0,0.0,0.0,172.07110595703125,0.013978133511016889,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-19,0,0.0,0,0,0,0.0,-2.0,172.32913208007812,0.0853350097750818,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-20,0,0.0,0,0,0,0.0,0.0,169.23272705078125,-0.17058779773531238,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-21,0,0.0,0,0,0,0.0,0.0,168.79310607910156,-0.2702646934430102,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-24,0,0.0,0,0,0,0.0,0.0,169.17538452148438,-0.21978296897738092,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-25,0,0.0,0,0,0,0.0,0.0,168.10499572753906,-0.2441330818499987,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-26,0,0.0,0,0,0,0.0,0.0,161.88348388671875,-0.7291383459513092,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-27,0,0.0,0,0,0,0.0,0.0,157.17196655273438,-1.1549284833699809,0.0,10015.020141601562,0.0,10015.020141601562
2023-04-28,0,0.0,0,0,0,0.0,0.0,157.9460906982422,-0.9934438760920354,0.0,10015.020141601562,0.0,10015.020141601562
2023-05-01,0,0.0,0,0,0,0.0,0.0,159.79054260253906,-0.5372651351756987,0.0,10015.020141601562,0.0,10015.020141601562
2023-05-02,0,0.0,0,0,0,0.0,0.0,159.2935791015625,-0.24667845769981334,0.0,10015.020141601562,0.0,10015.020141601562
2023-05-03,0,0.0,0,0,0,0.0,0.0,156.67501831054688,-0.2469323058508297,0.0,10015.020141601562,0.0,10015.020141601562
2023-05-04,0,0.0,0,0,0,0.0,0.0,156.1111602783203,-0.17383101453166105,0.0,10015.020141601562,0.0,10015.020141601562
2023-05-05,0,0.0,0,0,0,0.0,2.0,155.10768127441406,-0.12175507265281116,0.0,10015.020141601562,0.0,10015.020141601562
2023-05-08,0,0.0,0,0,0,0.0,0.0,159.69178771972656,0.3941685909889383,0.0,10015.020141601562,0.0,10015.020141601562
2023-05-09,0,0.0,0,0,0,0.0,0.0,158.1509246826172,0.45639682713520724,0.0,10015.020141601562,0.0,10015.020141601562
2023-05-10,0,0.0,0,0,0,0.0,0.0,156.9759979248047,0.36470034365559867,0.0,10015.020141601562,0.0,10015.020141601562
2023-05-11,0,0.0,0,0,0,0.0,0.0,157.024169921875,0.3318107703176194,0.0,10015.020141601562,0.0,10015.020141601562
2023-05-12,0,0.0,0,0,0,0.0,0.0,155.213623046875,0.1616943551219565,0.0,10015.020141601562,0.0,10015.020141601562
2023-05-15,0,0.0,0,0,0,0.0,0.0,155.89739990234375,0.1828788681743445,0.0,10015.020141601562,0.0,10015.020141601562
2023-05-16,0,0.0,0,0,0,0.0,0.0,159.15248107910156,0.4879443618079209,0.0,10015.020141601562,0.0,10015.020141601562
2023-05-17,0,0.0,0,0,0,0.0,0.0,157.34194946289062,0.4003435714939807,0.0,10015.020141601562,0.0,10015.020141601562
