date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0.0,0.0,0.0,182.0194396972656,-0.24793533146942837,0.0,10000.0,0.0,10000.0
2023-01-27,1,0.0021957047405144242,0,0,0.0,-0.01,0.0,184.27757263183597,-0.094559504682171,-0.007804295259485576,49.011077880857556,54.0,10000.0
2023-01-30,2,0.0,0,0,0.0,-0.01,0.0,184.68463134765625,-0.019076513907677395,-0.01,10021.981170654295,0.0,10021.981170654295
2023-01-31,0,0.0,0,0,0.0,0.0,2.0,178.40444946289062,-0.5586439451409176,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-01,0,0.0,0,0,0.0,0.0,0.0,187.8828887939453,0.1326133187538443,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-02,0,0.0,0,0,0.0,0.0,0.0,195.8785552978516,1.0226061757303024,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-03,0,0.0,0,0,0.0,0.0,0.0,207.8865203857422,2.1529841887522165,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-06,0,0.0,0,0,0.0,0.0,0.0,208.05126953125,2.11837673208466,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-07,0,0.0,0,0,0.0,0.0,0.0,204.09706115722656,1.2743914018776366,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-08,0,0.0,0,0,0.0,0.0,0.0,203.43804931640625,0.5462954900392276,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-09,0,0.0,0,0,0.0,0.0,-2.0,203.0212860107422,0.003376333515864971,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-10,0,0.0,0,0,0.0,0.0,0.0,202.18780517578125,-0.40978862947245887,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-13,0,0.0,0,0,0.0,0.0,0.0,202.9146728515625,-0.5606531474276348,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-14,0,0.0,0,0,0.0,0.0,0.0,205.13409423828125,-0.4509816679852525,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-15,0,0.0,0,0,0.0,0.0,0.0,206.11294555664065,-0.3642708011685194,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-16,0,0.0,0,0,0.0,0.0,0.0,206.47152709960935,-0.34878571131009917,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-17,0,0.0,0,0,0.0,0.0,0.0,205.14376831054688,-0.5010951847472729,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-21,0,0.0,0,0,0.0,0.0,0.0,203.81602478027344,-0.6795074854979655,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-22,0,0.0,0,0,0.0,0.0,0.0,199.30938720703125,-1.0968498196590306,0.0,10021.981170654295,0.0,10021.981170654295
2023-02-23,0,0.0,0,0,0.0,0.0,0.0,196.57632446289065,-1.3570826420407902,0.0,10021.981170654295,0.0,10021.981170654295
