date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0.0,0.0,0.0,199.9829864501953,-0.12660074800468446,0.0,10000.0,0.0,10000.0
2023-01-27,1,0.0033592029342308424,0,0,0.0,-0.01,0.0,195.81082153320312,-0.4510370741966018,-0.006640797065769158,13.648101806640625,51.0,10000.0
2023-01-30,0,-0.0028644690730048705,0,0,0.0,0.0,0.0,196.47059631347656,-0.45105212218683216,-0.0028644690730048705,13.648101806640625,51.0,10033.648513793945
2023-01-31,2,0.0,0,0,0.0,-0.01,2.0,195.9078521728516,-0.42931252405622017,-0.01,10004.948562622072,0.0,10004.948562622072
2023-02-01,0,0.0,0,0,0.0,0.0,0.0,202.0593719482422,0.17903184209754347,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-02,0,0.0,0,0,0.0,0.0,0.0,207.2115020751953,0.8050250532543541,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-03,0,0.0,0,0,0.0,0.0,0.0,214.9737091064453,1.5356558543564345,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-06,0,0.0,0,0,0.0,0.0,0.0,209.54986572265625,1.0182048012272276,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-07,0,0.0,0,0,0.0,0.0,0.0,209.45281982421875,0.5751635744014836,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-08,0,0.0,0,0,0.0,0.0,-2.0,208.34674072265625,0.14314417118556122,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-09,0,0.0,0,0,0.0,0.0,0.0,206.43528747558597,-0.27860835804677464,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-10,0,0.0,0,0,0.0,0.0,0.0,202.43777465820312,-0.7951024693183952,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-13,0,0.0,0,0,0.0,0.0,0.0,202.5736083984375,-0.8863733720200266,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-14,0,0.0,0,0,0.0,0.0,0.0,207.77426147460935,-0.35644954805661655,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-15,0,0.0,0,0,0.0,0.0,2.0,207.4055633544922,-0.16505511096819991,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-16,0,0.0,0,0,0.0,0.0,-2.0,208.63780212402344,0.0075266529604061105,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-17,0,0.0,0,0,0.0,0.0,0.0,207.64813232421875,-0.04836882705033485,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-21,0,0.0,0,0,0.0,0.0,0.0,206.4255828857422,-0.19732776803238616,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-22,0,0.0,0,0,0.0,0.0,0.0,195.849609375,-1.1522218621966978,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-23,0,0.0,0,0,0.0,0.0,0.0,196.6064300537109,-1.2414884388748109,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-24,0,0.0,0,0,0.0,0.0,0.0,196.19891357421875,-1.0762689772638028,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-27,0,0.0,0,0,0.0,0.0,0.0,195.548828125,-0.8504568026734598,0.0,10004.948562622072,0.0,10004.948562622072
2023-02-28,0,0.0,0,0,0.0,0.0,2.0,198.1685791015625,-0.34878340098816896,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-01,0,0.0,0,0,0.0,0.0,-2.0,199.6336975097656,0.0708562473615808,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-02,0,0.0,0,0,0.0,0.0,0.0,188.5337677001953,-0.6931637773101755,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-03,0,0.0,0,0,0.0,0.0,0.0,189.3002777099609,-0.7263454271700507,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-06,0,0.0,0,0,0.0,0.0,2.0,193.79263305664065,-0.1538798112716111,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-07,0,0.0,0,0,0.0,0.0,0.0,195.57794189453125,0.3087380878073711,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-08,0,0.0,0,0,0.0,0.0,0.0,191.54161071777344,0.14388302879621095,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-09,0,0.0,0,0,0.0,0.0,0.0,195.1607208251953,0.43196589313597,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-10,0,0.0,0,0,0.0,0.0,0.0,193.1328582763672,0.3436180542791636,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-13,0,0.0,0,0,0.0,0.0,0.0,190.81390380859372,0.10229527300209984,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-14,0,0.0,0,0,0.0,0.0,0.0,191.6774444580078,0.11923238530584745,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-15,0,0.0,0,0,0.0,0.0,0.0,190.9788360595703,0.09215357081284736,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-16,0,0.0,0,0,0.0,0.0,0.0,192.6865234375,0.25851814997882494,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-17,0,0.0,0,0,0.0,0.0,0.0,193.7344207763672,0.4052917108826726,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-20,0,0.0,0,0,0.0,0.0,0.0,191.4930725097656,0.22995689267738628,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-21,0,0.0,0,0,0.0,0.0,0.0,190.94000244140625,0.10874041109898536,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-22,0,0.0,0,0,0.0,0.0,-2.0,190.94000244140625,0.07480427759006014,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-23,0,0.0,0,0,0.0,0.0,0.0,185.87522888183597,-0.3563197769829123,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-24,0,0.0,0,0,0.0,0.0,0.0,184.05108642578125,-0.5723373916081029,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-27,0,0.0,0,0,0.0,0.0,0.0,183.82794189453125,-0.5239686363306992,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-28,0,0.0,0,0,0.0,0.0,0.0,184.8661346435547,-0.27049577701206795,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-29,0,0.0,0,0,0.0,0.0,2.0,184.49740600585935,-0.10337721344593565,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-30,0,0.0,0,0,0.0,0.0,0.0,186.2342071533203,0.18416800696687563,0.0,10004.948562622072,0.0,10004.948562622072
2023-03-31,0,0.0,0,0,0.0,0.0,0.0,186.92308044433597,0.3714816045421938,0.0,10004.948562622072,0.0,10004.948562622072
2023-04-03,0,0.0,0,0,0.0,0.0,0.0,194.0255279541016,1.0320053565129776,0.0,10004.948562622072,0.0,10004.948562622072
2023-04-04,0,0.0,0,0,0.0,0.0,0.0,197.92599487304688,1.4564321900168293,0.0,10004.948562622072,0.0,10004.948562622072
2023-04-05,0,0.0,0,0,0.0,0.0,0.0,196.96543884277344,1.2774683540110787,0.0,10004.948562622072,0.0,10004.948562622072
2023-04-06,0,0.0,0,0,0.0,0.0,0.0,193.5015411376953,0.6735624769500115,0.0,10004.948562622072,0.0,10004.948562622072
2023-04-10,0,0.0,0,0,0.0,0.0,0.0,192.6671295166016,0.2363995907117078,0.0,10004.948562622072,0.0,10004.948562622072
2023-04-11,0,0.0,0,0,0.0,0.0,0.0,193.84112548828125,0.10728975448945999,0.0,10004.948562622072,0.0,10004.948562622072
2023-04-12,0,0.0,0,0,0.0,0.0,-2.0,195.3547821044922,0.1418914358689265,0.0,10004.948562622072,0.0,10004.948562622072
