date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0,0.0,2.0,79.0999984741211,-0.04123779734704569,0.0,10000.0,0.0,10000.0
2023-01-27,1,0.012468002965445164,0,0,0,0.01,0.0,80.80999755859375,0.07852813981721785,0.022468002965445162,60.37030029296875,123.0,10000.0
2023-01-30,2,0.0,0,0,0,-0.01,-2.0,81.83000183105469,0.17775954186421328,-0.01,10125.460525512695,0.0,10125.460525512695
2023-01-31,0,0.0,0,0,0,0.0,2.0,79.63999938964844,-0.026419133677718087,0.0,10125.460525512695,0.0,10125.460525512695
2023-02-01,0,0.0,0,0,0,0.0,0.0,81.48999786376953,0.041331376501260175,0.0,10125.460525512695,0.0,10125.460525512695
2023-02-02,0,0.0,0,0,0,0.0,0.0,82.91000366210938,0.1592754890051329,0.0,10125.460525512695,0.0,10125.460525512695
2023-02-03,0,0.0,0,0,0,0.0,0.0,86.95999908447266,0.4973035337846756,0.0,10125.460525512695,0.0,10125.460525512695
2023-02-06,1,-0.03788416063766989,0,0,0,-0.01,-2.0,85.5199966430664,0.37678117309570336,-0.04788416063766989,34.100921630859375,118.0,10125.460525512695
2023-02-07,0,0.010834491817060225,0,0,0,0.0,0.0,82.33000183105469,-0.04669431860122564,0.010834491817060225,34.100921630859375,118.0,9749.041137695312
2023-02-08,2,0.0,0,0,0,-0.01,0.0,83.2300033569336,-0.15407250330201228,-0.01,9855.241317749023,0.0,9855.241317749023
2023-02-09,0,0.0,0,0,0,0.0,0.0,79.72000122070312,-0.5015339089603508,0.0,9855.241317749023,0.0,9855.241317749023
2023-02-10,0,0.0,0,0,0,0.0,0.0,78.41999816894531,-0.6771711171796944,0.0,9855.241317749023,0.0,9855.241317749023
2023-02-13,0,0.0,0,0,0,0.0,0.0,80.80000305175781,-0.43166111713024274,0.0,9855.241317749023,0.0,9855.241317749023
2023-02-14,0,0.0,0,0,0,0.0,0.0,79.44999694824219,-0.3882032701516127,0.0,9855.241317749023,0.0,9855.241317749023
2023-02-15,0,0.0,0,0,0,0.0,0.0,77.26000213623047,-0.4924343572188896,0.0,9855.241317749023,0.0,9855.241317749023
2023-02-16,0,0.0,0,0,0,0.0,0.0,77.91000366210938,-0.38073146758654086,0.0,9855.241317749023,0.0,9855.241317749023
2023-02-17,0,0.0,0,0,0,0.0,0.0,76.7300033569336,-0.36040809559770703,0.0,9855.241317749023,0.0,9855.241317749023
2023-02-21,0,0.0,0,0,0,0.0,0.0,74.66000366210938,-0.44770406955029607,0.0,9855.241317749023,0.0,9855.241317749023
2023-02-22,0,0.0,0,0,0,0.0,0.0,75.23999786376953,-0.32440424830469583,0.0,9855.241317749023,0.0,9855.241317749023
2023-02-23,0,0.0,0,0,0,0.0,0.0,75.4800033569336,-0.16973184114957185,0.0,9855.241317749023,0.0,9855.241317749023
2023-02-24,0,0.0,0,0,0,0.0,0.0,75.19000244140625,-0.07397070093684976,0.0,9855.241317749023,0.0,9855.241317749023
2023-02-27,0,0.0,0,0,0,0.0,0.0,73.55000305175781,-0.13155482336484003,0.0,9855.241317749023,0.0,9855.241317749023
2023-02-28,0,0.0,0,0,0,0.0,0.0,73.7699966430664,-0.0735524166388406,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-01,0,0.0,0,0,0,0.0,2.0,73.5999984741211,-0.01573342040616854,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-02,0,0.0,0,0,0,0.0,0.0,73.81999969482422,0.06531977209430151,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-03,0,0.0,0,0,0,0.0,0.0,74.0999984741211,0.1444276863750522,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-06,0,0.0,0,0,0,0.0,0.0,76.29000091552734,0.3699704695973134,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-07,0,0.0,0,0,0,0.0,0.0,76.77999877929688,0.45704499867342374,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-08,0,0.0,0,0,0,0.0,0.0,74.91000366210938,0.2678686920463088,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-09,0,0.0,0,0,0,0.0,0.0,75.83999633789062,0.2468125942455529,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-10,0,0.0,0,0,0,0.0,-2.0,75.93000030517578,0.2152678182497274,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-13,0,0.0,0,0,0,0.0,0.0,73.43000030517578,-0.039979673989879505,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-14,0,0.0,0,0,0,0.0,0.0,72.61000061035156,-0.18691055275499113,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-15,0,0.0,0,0,0,0.0,0.0,73.23999786376953,-0.1403270151834597,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-16,0,0.0,0,0,0,0.0,2.0,73.91000366210938,-0.025302215076246526,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-17,0,0.0,0,0,0,0.0,-2.0,74.3499984741211,0.07490462817752963,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-20,0,0.0,0,0,0,0.0,2.0,72.98999786376953,-0.0038364453128426623,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-21,0,0.0,0,0,0,0.0,0.0,73.20999908447266,0.001319130013140768,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-22,0,0.0,0,0,0,0.0,0.0,76.72000122070312,0.3183465248703395,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-23,0,0.0,0,0,0,0.0,-2.0,74.33999633789062,0.1829483070120682,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-24,0,0.0,0,0,0,0.0,0.0,72.55999755859375,-0.04588847661292761,0.0,9855.241317749023,0.0,9855.241317749023
2023-03-27,0,0.0,0,0,0,0.0,0.0,73.87999725341797,-0.001489058509399288,0.0,9855.241317749023,0.0,9855.241317749023
