date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0.0,0.0,0.0,107.68199920654295,-0.22320904712428258,0.0,10000.0,0.0,10000.0
2023-01-27,1,-0.010046467218504974,0,0,0.0,-0.01,0.0,107.74992370605467,-0.2504365556790912,-0.020046467218504976,87.00701904297057,92.0,10000.0
2023-01-30,0,-0.0012628728511438225,0,0,0.0,0.0,0.0,106.66338348388672,-0.31566153967945587,-0.0012628728511438225,87.00701904297057,92.0,9900.038299560549
2023-01-31,2,0.0,0,0,0.0,-0.01,0.0,106.52757263183594,-0.29648615863045646,-0.01,9887.543701171877,0.0,9887.543701171877
2023-02-01,0,0.0,0,0,0.0,0.0,2.0,107.2454605102539,-0.1717355365093928,0.0,9887.543701171877,0.0,9887.543701171877
2023-02-02,0,0.0,0,0,0.0,0.0,0.0,108.4774932861328,0.016267042002999665,0.0,9887.543701171877,0.0,9887.543701171877
2023-02-03,0,0.0,0,0,0.0,0.0,0.0,108.89464569091795,0.1236288313712754,0.0,9887.543701171877,0.0,9887.543701171877
2023-02-06,0,0.0,0,0,0.0,0.0,-2.0,108.44839477539062,0.10606174397538132,0.0,9887.543701171877,0.0,9887.543701171877
2023-02-07,0,0.0,0,0,0.0,0.0,2.0,107.4394760131836,-0.004202971255334337,0.0,9887.543701171877,0.0,9887.543701171877
2023-02-08,0,0.0,0,0,0.0,0.0,-2.0,108.64241027832033,0.06093878871502314,0.0,9887.543701171877,0.0,9887.543701171877
2023-02-09,0,0.0,0,0,0.0,0.0,0.0,106.90591430664062,-0.07412943008446704,0.0,9887.543701171877,0.0,9887.543701171877
2023-02-10,0,0.0,0,0,0.0,0.0,0.0,104.83958435058594,-0.28554823016411796,0.0,9887.543701171877,0.0,9887.543701171877
2023-02-13,0,0.0,0,0,0.0,0.0,0.0,104.92689514160156,-0.297785301682855,0.0,9887.543701171877,0.0,9887.543701171877
2023-02-14,0,0.0,0,0,0.0,0.0,0.0,105.27613067626952,-0.20734340364757875,0.0,9887.543701171877,0.0,9887.543701171877
2023-02-15,0,0.0,0,0,0.0,0.0,0.0,104.05380249023438,-0.22674559040358644,0.0,9887.543701171877,0.0,9887.543701171877
2023-02-16,0,0.0,0,0,0.0,0.0,0.0,104.07320404052734,-0.17287824487162617,0.0,9887.543701171877,0.0,9887.543701171877
