date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0.0,0.0,0.0,161.9687042236328,0.10682683176307117,0.0,10000.0,0.0,10000.0
2023-01-27,1,-0.003854357588878453,0,0,0.06461731401186939,-0.01,0.0,161.3762969970703,0.16679190574361025,0.05076295642299093,156.04588317871094,61.0,10000.0
2023-01-30,0,-0.03713351849444339,0,0,0.0,0.0,-2.0,160.7456512451172,0.15228870136665895,-0.03713351849444339,156.04588317871094,61.0,9961.53060913086
2023-01-31,2,0.0,0,0,0.0,0.01,0.0,154.79281616210938,-0.34563954308046796,0.01,9598.407669067383,0.0,9598.407669067383
2023-02-01,0,0.0,0,0,0.0,0.0,0.0,156.149658203125,-0.2995418000738379,0.0,9598.407669067383,0.0,9598.407669067383
2023-02-02,0,0.0,0,0,0.0,0.0,2.0,157.58291625976562,-0.050436131732666034,0.0,9598.407669067383,0.0,9598.407669067383
2023-02-03,1,-0.005570128118412024,0,0,0.0,0.01,0.0,158.17530822753906,0.15725574286899224,0.004429871881587976,107.88917541503906,60.0,9598.407669067383
2023-02-06,0,-0.007536249650308747,0,0,0.0,0.0,0.0,157.28671264648438,0.18292539128330487,-0.007536249650308747,107.88917541503906,60.0,9545.091934204102
2023-02-07,0,0.00024205793424528522,0,0,0.0,0.0,0.0,156.09231567382812,0.10792158795945239,0.00024205793424528522,107.88917541503906,60.0,9473.428115844727
2023-02-08,0,0.0012698196462007638,0,0,0.0,0.0,0.0,156.1305389404297,0.11329694938003732,0.0012698196462007638,107.88917541503906,60.0,9475.72151184082
2023-02-09,0,-0.01344428773432389,0,0,0.0,0.0,0.0,156.33120727539062,0.15930809677010083,-0.01344428773432389,107.88917541503906,60.0,9487.761611938477
2023-02-10,0,0.004582739310146432,0,0,0.0,0.0,0.0,154.21949768066406,0.011178678207407255,0.004582739310146432,107.88917541503906,60.0,9361.059036254883
2023-02-13,0,0.0036513241703471965,0,0,0.0,0.0,0.0,154.93612670898438,0.06058166720454894,0.0036513241703471965,107.88917541503906,60.0,9404.056777954102
2023-02-14,0,-0.004321932136490882,0,0,0.0,0.0,0.0,155.50946044921875,0.1604036661849304,-0.004321932136490882,107.88917541503906,60.0,9438.456802368164
