date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0,0.0,0.0,367.9599914550781,2.562777676170299,0.0,10000.0,0.0,10000.0
2023-01-27,1,-0.01113174509251442,0,0,0,-0.01,0.0,364.8699951171875,1.5083230144493989,-0.02113174509251442,148.5101318359375,27.0,10000.0
2023-01-30,0,-0.021135308310984056,0,0,0,0.0,-2.0,360.7699890136719,0.19217834113554133,-0.021135308310984056,148.5101318359375,27.0,9889.299835205078
2023-01-31,2,0.0,0,0,0,0.01,0.0,353.1099853515625,-1.2920087710051575,0.01,9682.479736328125,0.0,9682.479736328125
2023-02-01,0,0.0,0,0,0,0.0,0.0,353.8599853515625,-1.829426391602567,0.0,9682.479736328125,0.0,9682.479736328125
2023-02-02,0,0.0,0,0,0,0.0,0.0,361.989990234375,-1.2600952870953037,0.0,9682.479736328125,0.0,9682.479736328125
2023-02-03,0,0.0,0,0,0,0.0,0.0,366.8900146484375,-0.6427331296666701,0.0,9682.479736328125,0.0,9682.479736328125
2023-02-06,0,0.0,0,0,0,0.0,0.0,365.8999938964844,-0.6129675278772595,0.0,9682.479736328125,0.0,9682.479736328125
2023-02-07,0,0.0,0,0,0,0.0,0.0,361.4800109863281,-1.0883885044429853,0.0,9682.479736328125,0.0,9682.479736328125
2023-02-08,0,0.0,0,0,0,0.0,0.0,362.9500122070313,-1.1413811067934496,0.0,9682.479736328125,0.0,9682.479736328125
2023-02-09,0,0.0,0,0,0,0.0,0.0,366.8299865722656,-0.8044749799800623,0.0,9682.479736328125,0.0,9682.479736328125
2023-02-10,0,0.0,0,0,0,0.0,0.0,362.5,-1.0754229908101287,0.0,9682.479736328125,0.0,9682.479736328125
2023-02-13,0,0.0,0,0,0,0.0,0.0,347.3599853515625,-2.4300202161207967,0.0,9682.479736328125,0.0,9682.479736328125
2023-02-14,0,0.0,0,0,0,0.0,0.0,358.57000732421875,-1.6411696923789245,0.0,9682.479736328125,0.0,9682.479736328125
2023-02-15,0,0.0,0,0,0,0.0,0.0,359.9599914550781,-1.0215242361396584,0.0,9682.479736328125,0.0,9682.479736328125
2023-02-16,0,0.0,0,0,0,0.0,0.0,361.4200134277344,-0.5526378187879963,0.0,9682.479736328125,0.0,9682.479736328125
