date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0.0,0.0,0.0,361.3501586914063,-0.7553133815234032,0.0,10000.0,0.0,10000.0
2023-01-27,1,0.01587758736608203,0,0,0.0,-0.01,0.0,362.3363952636719,-0.7790343348518949,0.005877587366082031,216.91732788085938,27.0,10000.0
2023-01-30,0,-0.01918504683453329,0,0,0.0,0.0,0.0,368.263916015625,-0.2649802337020928,-0.01918504683453329,216.91732788085938,27.0,10160.043060302734
2023-01-31,2,0.0,0,0,0.0,-0.01,0.0,361.1134338378906,-0.7623415045366659,-0.01,9966.980041503906,0.0,9966.980041503906
2023-02-01,0,0.0,0,0,0.0,0.0,2.0,369.7926025390625,-0.17264748184754897,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-02,0,0.0,0,0,0.0,0.0,0.0,372.0018615722656,0.15872379112261115,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-03,0,0.0,0,0,0.0,0.0,-2.0,377.8997497558594,0.6492662212695564,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-06,0,0.0,0,0,0.0,0.0,0.0,367.7904968261719,-0.2724586589693221,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-07,0,0.0,0,0,0.0,0.0,0.0,363.5988464355469,-1.0357699687920014,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-08,0,0.0,0,0,0.0,0.0,0.0,366.0151672363281,-1.0204959975356989,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-09,0,0.0,0,0,0.0,0.0,0.0,360.8274230957031,-1.3570700230857224,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-10,0,0.0,0,0,0.0,0.0,0.0,358.6576232910156,-1.4816111973759216,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-13,0,0.0,0,0,0.0,0.0,0.0,358.8646850585937,-1.2779756121181833,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-14,0,0.0,0,0,0.0,0.0,0.0,365.51220703125,-0.41745223354172933,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-15,0,0.0,0,0,0.0,0.0,0.0,359.8509826660156,-0.5183859628028733,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-16,0,0.0,0,0,0.0,0.0,0.0,362.5238037109375,-0.2315709498330827,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-17,0,0.0,0,0,0.0,0.0,0.0,352.9076232910156,-0.9033894908725317,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-21,0,0.0,0,0,0.0,0.0,0.0,355.8763122558594,-0.7132537013467468,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-22,0,0.0,0,0,0.0,0.0,0.0,345.9741516113281,-1.3321991852077972,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-23,0,0.0,0,0,0.0,0.0,0.0,341.4471740722656,-1.654720470535084,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-24,0,0.0,0,0,0.0,0.0,0.0,344.2455749511719,-1.1555236208341668,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-27,0,0.0,0,0,0.0,0.0,0.0,339.548583984375,-1.0677192752586917,0.0,9966.980041503906,0.0,9966.980041503906
2023-02-28,0,0.0,0,0,0.0,0.0,0.0,337.699462890625,-0.8852723669958182,0.0,9966.980041503906,0.0,9966.980041503906
2023-03-01,0,0.0,0,0,0.0,0.0,0.0,337.3929443359375,-0.5541482772366049,0.0,9966.980041503906,0.0,9966.980041503906
2023-03-02,0,0.0,0,0,0.0,0.0,0.0,334.0111083984375,-0.4824265774564296,0.0,9966.980041503906,0.0,9966.980041503906
2023-03-03,0,0.0,0,0,0.0,0.0,2.0,336.0975646972656,-0.042289067944501824,0.0,9966.980041503906,0.0,9966.980041503906
2023-03-06,0,0.0,0,0,0.0,0.0,0.0,342.2085876464844,0.7997930472299704,0.0,9966.980041503906,0.0,9966.980041503906
2023-03-07,0,0.0,0,0,0.0,0.0,0.0,347.4000244140625,1.5464176907251286,0.0,9966.980041503906,0.0,9966.980041503906
2023-03-08,0,0.0,0,0,0.0,0.0,0.0,332.8936767578125,0.41025947532964313,0.0,9966.980041503906,0.0,9966.980041503906
2023-03-09,0,0.0,0,0,0.0,0.0,-2.0,335.0987854003906,0.2122239070823717,0.0,9966.980041503906,0.0,9966.980041503906
2023-03-10,0,0.0,0,0,0.0,0.0,0.0,330.2040100097656,-0.21765597577463236,0.0,9966.980041503906,0.0,9966.980041503906
2023-03-13,0,0.0,0,0,0.0,0.0,0.0,322.8964538574219,-0.858756452762858,0.0,9966.980041503906,0.0,9966.980041503906
2023-03-14,0,0.0,0,0,0.0,0.0,0.0,321.1660461425781,-0.970249948060391,0.0,9966.980041503906,0.0,9966.980041503906
2023-03-15,0,0.0,0,0,0.0,0.0,2.0,329.0174560546875,-0.03003114905791371,0.0,9966.980041503906,0.0,9966.980041503906
2023-03-16,0,0.0,0,0,0.0,0.0,0.0,330.2535095214844,0.5611350727019815,0.0,9966.980041503906,0.0,9966.980041503906
2023-03-17,0,0.0,0,0,0.0,0.0,0.0,336.107421875,1.3045643582211648,0.0,9966.980041503906,0.0,9966.980041503906
2023-03-20,0,0.0,0,0,0.0,0.0,0.0,330.7578125,0.9888123108577433,0.0,9966.980041503906,0.0,9966.980041503906
